en,fi,description,file,hash
Manage redirects,Hallinnoi uudelleenohjauksia,,site/modules/ProcessRedirects/ProcessRedirects.module,33b539e75111e7b300ec05d15c784435
Redirect From,Lähdeosoite,,site/modules/ProcessRedirects/ProcessRedirects.module,9d6173567a5ce056fc822f9098ca7252
Redirect To,Kohdeosoite,,site/modules/ProcessRedirects/ProcessRedirects.module,21d30a3f3b3d1826f97f7def77068d7d
Test Redirect,Testaa ohjausta,,site/modules/ProcessRedirects/ProcessRedirects.module,d35c41c5a8610ae5ecc12354a9b0386a
Hits,Osumat,,site/modules/ProcessRedirects/ProcessRedirects.module,b69df945ae986e6b1882cdc87ad19617
Delete,Poista,,site/modules/ProcessRedirects/ProcessRedirects.module,f2a6c498fb90ee345d997f888fce3b18
Test,Testaa,,site/modules/ProcessRedirects/ProcessRedirects.module,0cbc6611f5540bd0809a388dc95a615b
Add redirect,Lisää ohjaus,,site/modules/ProcessRedirects/ProcessRedirects.module,be52536ce2456f133c611e523f95701c
Import,Tuo,,site/modules/ProcessRedirects/ProcessRedirects.module,72d6d7a1885885bb55a565fd1070581a
Export,Vie,,site/modules/ProcessRedirects/ProcessRedirects.module,0095a9fa74d1713e43e370a7d7846224
Remove selected redirects,Poista valitut ohjaukset,,site/modules/ProcessRedirects/ProcessRedirects.module,09ce448466551a56126e9c949c58cff5
"You need to select at least one item to delete first.","Valitse vähintään yksi ohjaus jonka haluat poistaa.",,site/modules/ProcessRedirects/ProcessRedirects.module,82f1c489d84ca550e00845ebe8f4959c
"Are you sure you want to delete selected redirects?","Haluatko varmasti poistaa valitut ohjaukset?",,site/modules/ProcessRedirects/ProcessRedirects.module,ac0bed06167790270fff9ca0d2852cf3
Redirects,Uudelleenohjaukset,,site/modules/ProcessRedirects/ProcessRedirects.module,08635c4f0bf6edbca5d2a8bd0da24a6c
Add Redirect,Lisää ohjaus,,site/modules/ProcessRedirects/ProcessRedirects.module,29d916d0db37747ddb65923756bafbf0
